Union ID,Loci,Union length,Occupancy score,Occupancy frequency,Constitutive,Genomic feature,Motif
2690,chr1:35385234-35385791,557,1254,0.933,Y,Intergenic,chr1:35385551-35385570(-)
2726,chr1:35726616-35727171,555,1161,0.864,Y,Intergenic,chr1:35726793-35726812(+)
2740,chr1:35839409-35840000,591,1177,0.876,Y,Intergenic,"chr1:35839585-35839604(+),chr1:35839684-35839703(+)"
2788,chr1:36064834-36065369,535,1286,0.957,Y,Intergenic,chr1:36065062-36065081(-)
2806,chr1:36134347-36134956,609,1309,0.974,Y,Exon:Gm33280;Intron:Gm33280,"chr1:36134797-36134816(-),chr1:36134658-36134677(+)"
2837,chr1:36252784-36253253,469,1288,0.958,Y,Intergenic,chr1:36253004-36253023(-)
2845,chr1:36277180-36277811,631,1288,0.958,Y,Intergenic,chr1:36277453-36277472(-)
2846,chr1:36279105-36279652,547,1250,0.93,Y,Intergenic,"chr1:36279385-36279404(-),chr1:36279387-36279406(+)"
2893,chr1:36501123-36501700,577,1307,0.972,Y,Intron:Cnnm4,"chr1:36501343-36501362(-),chr1:36501476-36501495(-)"
2895,chr1:36511187-36512150,963,1140,0.848,Y,Promoter:Cnnm3;Exon:Cnnm3,"chr1:36511888-36511907(+),chr1:36511471-36511490(-)"
2907,chr1:36546802-36547662,860,1314,0.978,Y,Promoter:Ankrd39;Exon:Ankrd39;Intron:Ankrd39,"chr1:36547382-36547401(+),chr1:36547450-36547469(+)"
2910,chr1:36556844-36557560,716,1227,0.913,Y,"Promoter:Sema4c,D430040D24Rik;Exon:Sema4c;Intron:Sema4c","chr1:36557248-36557267(-),chr1:36556930-36556949(+)"
2931,chr1:36634871-36635584,713,1249,0.929,Y,Exon:Fam178b;Intron:Fam178b,chr1:36635132-36635151(-)
2947,chr1:36683886-36684884,998,1279,0.952,Y,Promoter:Fam178b,"chr1:36684752-36684771(+),chr1:36684262-36684281(+),chr1:36684316-36684335(-)"
2961,chr1:36736940-36737785,845,1284,0.955,Y,Intron:4933424G06Rik,"chr1:36737206-36737225(-),chr1:36737498-36737517(+)"
2962,chr1:36744568-36745168,600,1263,0.94,Y,"Promoter:Gm33533;Exon:Gm33533,4933424G06Rik;Intron:4933424G06Rik","chr1:36744595-36744614(+),chr1:36744782-36744801(-)"
2963,chr1:36746399-36746847,448,1141,0.849,Y,Promoter:Gm33533;Exon:4933424G06Rik;Intron:4933424G06Rik,chr1:36746651-36746670(-)
2973,chr1:36784452-36785231,779,1281,0.953,Y,Intergenic,"chr1:36784556-36784575(-),chr1:36784820-36784839(+),chr1:36784958-36784977(+)"
3100,chr1:37250333-37251317,984,1270,0.945,Y,Intron:Cnga3,"chr1:37250510-37250529(+),chr1:37250857-37250876(-)"
3104,chr1:37272267-37273416,1149,1274,0.948,Y,Intergenic,"chr1:37272658-37272677(+),chr1:37273312-37273331(-)"
3128,chr1:37401529-37402308,779,1221,0.908,Y,Intron:Inpp4a,chr1:37401858-37401877(-)
3133,chr1:37419391-37420000,609,1331,0.99,Y,Exon:Coa5,"chr1:37419593-37419612(+),chr1:37419640-37419659(+)"
3135,chr1:37448252-37448732,480,1187,0.883,Y,Intron:Mgat4a,chr1:37448545-37448564(+)
3172,chr1:37634509-37635158,649,1285,0.956,Y,Intron:2010300C02Rik,chr1:37634834-37634853(-)
3175,chr1:37639108-37639720,612,1221,0.908,Y,Intron:2010300C02Rik,chr1:37639351-37639370(-)
3181,chr1:37678330-37678815,485,1285,0.956,Y,Intron:2010300C02Rik,"chr1:37678594-37678613(+),chr1:37678437-37678456(-),chr1:37678584-37678603(+)"
3212,chr1:37867022-37867573,551,1214,0.903,Y,"Promoter:Gm26805,Tsga10;Intron:Gm26805",chr1:37867255-37867274(-)
3236,chr1:37985671-37986158,487,1212,0.902,Y,Exon:Txndc9,chr1:37985948-37985967(-)
3237,chr1:37996927-37998180,1253,1143,0.85,Y,"Promoter:Txndc9,Eif5b;Exon:Txndc9,Eif5b",
3263,chr1:38129704-38130695,991,1276,0.949,Y,"Promoter:Gm5099,Rev1",chr1:38130121-38130140(-)
3269,chr1:38185161-38185908,747,1322,0.984,Y,Exon:Aff3;Intron:Aff3,chr1:38185686-38185705(+)
3281,chr1:38252656-38253085,429,1265,0.941,Y,Exon:Aff3;Intron:Aff3,chr1:38252880-38252899(+)
3378,chr1:38767727-38768295,568,1225,0.911,Y,Promoter:2610300A13Rik,chr1:38768050-38768069(-)
3379,chr1:38769553-38770290,737,1189,0.885,Y,Intergenic,chr1:38770052-38770071(-)
3384,chr1:38787437-38787862,425,1210,0.9,Y,Intergenic,chr1:38787633-38787652(-)
3385,chr1:38788681-38789326,645,1148,0.854,Y,Intergenic,chr1:38789134-38789153(+)
3386,chr1:38799381-38799923,542,1198,0.891,Y,Intron:Lonrf2,"chr1:38799526-38799545(+),chr1:38799560-38799579(-)"
3398,chr1:38855822-38856624,802,1269,0.944,Y,Intergenic,"chr1:38855964-38855983(+),chr1:38856382-38856401(-)"
3414,chr1:38936567-38937220,653,1230,0.915,Y,Promoter:Nms,chr1:38936968-38936987(-)
3421,chr1:39001041-39001566,525,1256,0.935,Y,Intergenic,chr1:39001316-39001335(+)
3422,chr1:39010506-39011091,585,1153,0.858,Y,Intergenic,chr1:39010874-39010893(+)
3461,chr1:39217516-39218091,575,1191,0.886,Y,Intron:Npas2,chr1:39217764-39217783(+)
3483,chr1:39340544-39341256,712,1140,0.848,Y,Intron:Npas2,chr1:39340844-39340863(-)
3493,chr1:39391993-39392749,756,1312,0.976,Y,Exon:Tbc1d8;Intron:Tbc1d8,chr1:39392380-39392399(+)
3529,chr1:39522408-39522917,509,1143,0.85,Y,Intergenic,"chr1:39522744-39522763(-),chr1:39522606-39522625(+)"
3531,chr1:39527398-39528071,673,1256,0.935,Y,Intergenic,chr1:39527630-39527649(+)
3532,chr1:39530100-39530770,670,1270,0.945,Y,Intergenic,"chr1:39530459-39530478(-),chr1:39530375-39530394(-)"
3549,chr1:39614844-39615483,639,1260,0.938,Y,Intergenic,"chr1:39615202-39615221(+),chr1:39615097-39615116(+)"
3559,chr1:39685568-39686277,709,1115,0.83,Y,Exon:Rfx8;Intron:Rfx8,chr1:39686035-39686054(+)
3616,chr1:39911201-39911989,788,1239,0.922,Y,Intron:Map4k4,"chr1:39911413-39911432(-),chr1:39911697-39911716(-),chr1:39911700-39911719(+)"
3619,chr1:39936416-39936985,569,1294,0.963,Y,Intron:Map4k4,"chr1:39936726-39936745(-),chr1:39936885-39936904(-)"
3655,chr1:40115203-40115692,489,1260,0.938,Y,Intron:Il1r2,chr1:40115457-40115476(+)
3656,chr1:40116211-40116789,578,1243,0.925,Y,Intron:Il1r2,chr1:40116602-40116621(+)
3710,chr1:40378623-40379673,1050,1308,0.973,Y,Intergenic,chr1:40378945-40378964(-)
3731,chr1:40544243-40545100,857,1197,0.891,Y,Intron:Il18rap,chr1:40544846-40544865(-)
3735,chr1:40579537-40580224,687,1220,0.908,Y,"Promoter:Gm35801,Slc9a4;Exon:Slc9a4;Intron:Gm35801",chr1:40579950-40579969(+)
3746,chr1:40657898-40658565,667,1159,0.862,Y,Intergenic,chr1:40658167-40658186(-)
3763,chr1:40797163-40797851,688,1231,0.916,Y,Intergenic,chr1:40797532-40797551(+)
3764,chr1:40802576-40803196,620,1238,0.921,Y,Intergenic,chr1:40802951-40802970(+)
3769,chr1:40844584-40845358,774,1269,0.944,Y,Intron:Tmem182,chr1:40844824-40844843(-)
3772,chr1:40878948-40879636,688,1137,0.846,Y,Intergenic,chr1:40879234-40879253(+)
3949,chr1:43065898-43066620,722,1177,0.876,Y,Intron:Tgfbrap1,chr1:43066105-43066124(-)
3954,chr1:43110527-43111160,633,1261,0.938,Y,Exon:AI597479;Intron:AI597479,chr1:43110752-43110771(-)
3960,chr1:43139363-43140006,643,1313,0.977,Y,Intron:Fhl2,chr1:43139789-43139808(+)
3977,chr1:43264308-43264848,540,1258,0.936,Y,Intron:Gm29040,chr1:43264574-43264593(-)
3982,chr1:43299232-43300072,840,1118,0.832,Y,Intron:Gm29040,chr1:43299638-43299657(+)
4048,chr1:43737903-43738815,912,1146,0.853,Y,Exon:1500015O10Rik;Intron:1500015O10Rik,"chr1:43738369-43738388(-),chr1:43738745-43738764(+)"
4078,chr1:43898932-43899578,646,1224,0.911,Y,Promoter:Gm8241;Exon:Gm8241,"chr1:43899432-43899451(+),chr1:43899159-43899178(+)"
4096,chr1:44041789-44042496,707,1277,0.95,Y,Intergenic,"chr1:44041976-44041995(-),chr1:44042436-44042455(-)"
4099,chr1:44064277-44065246,969,1187,0.883,Y,Intergenic,chr1:44064810-44064829(-)
4179,chr1:45431287-45432388,1101,1138,0.847,Y,Intron:Col5a2,"chr1:45431505-45431524(-),chr1:45431467-45431486(+),chr1:45432071-45432090(+),chr1:45432134-45432153(-)"
4212,chr1:45765895-45766791,896,1159,0.862,Y,Promoter:Gm8307,chr1:45766350-45766369(-)
4221,chr1:45816532-45817325,793,1305,0.971,Y,Exon:Wdr75;Intron:Wdr75,"chr1:45817038-45817057(+),chr1:45817064-45817083(+)"
4222,chr1:45824951-45825632,681,1254,0.933,Y,Intergenic,
4284,chr1:46849551-46850245,694,1158,0.862,Y,Promoter:Gm28151;Exon:Gm28151;Intron:Slc39a10,chr1:46849930-46849949(+)
4301,chr1:46970362-46971285,923,1173,0.873,Y,Intergenic,chr1:46970705-46970724(-)
4422,chr1:50962001-50962692,691,1148,0.854,Y,Intron:Tmeff2,chr1:50962464-50962483(+)
4451,chr1:51333703-51334571,868,1218,0.906,Y,Promoter:9330175M20Rik;Exon:9330175M20Rik,"chr1:51334139-51334158(-),chr1:51333794-51333813(+)"
4466,chr1:51458997-51459547,550,1242,0.924,Y,Promoter:1700072G22Rik,chr1:51459173-51459192(+)
4494,chr1:51596954-51597594,640,1292,0.961,Y,Promoter:Gm17767,chr1:51597178-51597197(-)
4496,chr1:51615204-51616165,961,1210,0.9,Y,Intergenic,"chr1:51615688-51615707(-),chr1:51615690-51615709(+)"
4498,chr1:51644393-51644874,481,1289,0.959,Y,Intergenic,chr1:51644625-51644644(+)
4555,chr1:51944723-51945454,731,1162,0.865,Y,Intergenic,chr1:51945038-51945057(-)
4562,chr1:52003964-52004752,788,1258,0.936,Y,Intron:Stat4,chr1:52004620-52004639(+)
4582,chr1:52098698-52099402,704,1151,0.856,Y,"Intron:Gm28177,Stat4","chr1:52099057-52099076(-),chr1:52098817-52098836(-)"
4587,chr1:52113514-52114315,801,1323,0.984,Y,"Promoter:RP24-194N4.6;Exon:Gm28177,RP24-194N4.6;Intron:Gm28177,RP24-194N4.6",
4592,chr1:52146310-52146958,648,1139,0.847,Y,"Intron:Gm28177,Stat1",chr1:52146743-52146762(+)
4597,chr1:52169989-52170512,523,1229,0.914,Y,Intron:Gls,"chr1:52170312-52170331(+),chr1:52170228-52170247(+)"
4667,chr1:52630372-52631102,730,1271,0.946,Y,Promoter:Tmem194b;Exon:Tmem194b;Intron:Tmem194b,chr1:52630617-52630636(-)
4688,chr1:52748231-52748818,587,1236,0.92,Y,Intergenic,chr1:52748450-52748469(-)
4720,chr1:52955019-52955584,565,1177,0.876,Y,Intron:1700019D03Rik,chr1:52955343-52955362(-)
4732,chr1:53052878-53054029,1151,1160,0.863,Y,Intergenic,chr1:53053250-53053269(+)
4785,chr1:53715425-53715928,503,1206,0.897,Y,Intergenic,chr1:53715641-53715660(+)
4823,chr1:53908654-53909550,896,1182,0.879,Y,Intron:Hecw2,chr1:53909282-53909301(+)
4872,chr1:54380896-54381925,1029,1280,0.952,Y,Intergenic,"chr1:54381456-54381475(-),chr1:54381730-54381749(+)"
4920,chr1:54665767-54666413,646,1216,0.905,Y,Intron:Ankrd44,"chr1:54665796-54665815(-),chr1:54666162-54666181(+)"
4926,chr1:54706511-54707285,774,1212,0.902,Y,"Intron:Ankrd44,4930444A19Rik",chr1:54706811-54706830(-)
5039,chr1:55161904-55162359,455,1159,0.862,Y,Promoter:Gm6822,chr1:55162109-55162128(-)
5048,chr1:55192738-55193278,540,1257,0.935,Y,Intron:Rftn2,chr1:55192991-55193010(+)
5064,chr1:55239026-55239727,701,1199,0.892,Y,Promoter:Mars2;Exon:Mars2,chr1:55239469-55239488(+)
5080,chr1:55383042-55383805,763,1303,0.969,Y,Promoter:Gm8531,"chr1:55383614-55383633(+),chr1:55383321-55383340(-)"
5081,chr1:55404275-55404788,513,1164,0.866,Y,Promoter:Plcl1,chr1:55404542-55404561(+)
5118,chr1:55736048-55736852,804,1231,0.916,Y,Intron:Plcl1,chr1:55736557-55736576(-)
5119,chr1:55755521-55756331,810,1217,0.906,Y,Intergenic,chr1:55755930-55755949(-)
5122,chr1:55837928-55838927,999,1181,0.879,Y,Intergenic,chr1:55838378-55838397(-)
5126,chr1:55874130-55875300,1170,1303,0.969,Y,Intergenic,"chr1:55874361-55874380(-),chr1:55874927-55874946(+)"
5133,chr1:55960195-55960858,663,1214,0.903,Y,Promoter:Gm36986;Exon:Gm36986;Intron:9130227L01Rik,"chr1:55960476-55960495(+),chr1:55960207-55960226(+)"
5221,chr1:57205475-57206147,672,1254,0.933,Y,Intron:BC055402,chr1:57205814-57205833(-)
5235,chr1:57339035-57339800,765,1116,0.83,Y,Intergenic,chr1:57339336-57339355(-)
5241,chr1:57393921-57394822,901,1230,0.915,Y,Exon:Tyw5;Intron:Tyw5,chr1:57394220-57394239(-)
5250,chr1:57428853-57429382,529,1248,0.929,Y,Intergenic,chr1:57429094-57429113(+)
5302,chr1:57969197-57970438,1241,1281,0.953,Y,Exon:Kctd18;Intron:Kctd18,"chr1:57970193-57970212(+),chr1:57970129-57970148(-),chr1:57970250-57970269(-)"
5315,chr1:58031139-58031658,519,1303,0.969,Y,Promoter:Aox1;Intron:Aox1,"chr1:58031216-58031235(-),chr1:58031218-58031237(+),chr1:58031372-58031391(-)"
5327,chr1:58112601-58113314,713,1143,0.85,Y,Promoter:Aox3;Exon:Aox3;Intron:Aox3,"chr1:58112964-58112983(-),chr1:58112982-58113001(-)"
5335,chr1:58156519-58157260,741,1177,0.876,Y,Promoter:Gm24548;Intron:Aox3,chr1:58156933-58156952(+)
5353,chr1:58296252-58296912,660,1291,0.961,Y,"Intron:Aox2,Gm15759","chr1:58296509-58296528(-),chr1:58296543-58296562(+)"
5417,chr1:58562143-58562910,767,1165,0.867,Y,Intron:Fam126b,"chr1:58562645-58562664(+),chr1:58562635-58562654(+)"
5419,chr1:58579181-58579607,426,1135,0.844,Y,Intron:Fam126b,chr1:58579366-58579385(-)
5438,chr1:58677324-58678206,882,1175,0.874,Y,Intron:Als2cr12,"chr1:58677777-58677796(-),chr1:58677521-58677540(+)"
5460,chr1:58769481-58770778,1297,1131,0.842,Y,Intergenic,"chr1:58770773-58770792(+),chr1:58770246-58770265(+),chr1:58769646-58769665(-)"
5522,chr1:59142761-59143369,608,1187,0.883,Y,Intron:Mpp4,chr1:59142998-59143017(-)
5545,chr1:59236813-59238332,1519,1211,0.901,Y,Promoter:Als2;Exon:Als2;Intron:Als2,"chr1:59238128-59238147(+),chr1:59238126-59238145(-)"
5547,chr1:59247604-59248143,539,1147,0.853,Y,Intergenic,chr1:59247822-59247841(+)
5562,chr1:59316210-59317364,1154,1192,0.887,Y,Intron:Cdk15,chr1:59316910-59316929(+)
5632,chr1:59584571-59585245,674,1287,0.958,Y,Intron:Gm973,chr1:59584823-59584842(-)
5641,chr1:59613772-59614215,443,1204,0.896,Y,Intron:Gm973,"chr1:59614077-59614096(-),chr1:59614026-59614045(-),chr1:59614012-59614031(+)"
5642,chr1:59623252-59623739,487,1287,0.958,Y,Intron:Gm973,chr1:59623516-59623535(-)
5676,chr1:59719716-59720678,962,1221,0.908,Y,Intergenic,"chr1:59720456-59720475(-),chr1:59720418-59720437(+),chr1:59720123-59720142(-)"
5716,chr1:59883677-59884150,473,1301,0.968,Y,Intergenic,chr1:59883932-59883951(+)
5837,chr1:60428899-60429476,577,1209,0.9,Y,Intron:Abi2,
5917,chr1:60822910-60823554,644,1168,0.869,Y,Intergenic,chr1:60823130-60823149(-)
5924,chr1:60860478-60861265,787,1219,0.907,Y,Intergenic,chr1:60860824-60860843(-)
5926,chr1:60868213-60868831,618,1185,0.882,Y,Intergenic,chr1:60868607-60868626(-)
5944,chr1:60954830-60955520,690,1159,0.862,Y,Intergenic,chr1:60955059-60955078(-)
5971,chr1:61180806-61181541,735,1287,0.958,Y,Intergenic,"chr1:61181287-61181306(+),chr1:61181257-61181276(-)"
5986,chr1:61376765-61377607,842,1271,0.946,Y,Promoter:9530026F06Rik,chr1:61377255-61377274(+)
6011,chr1:61771124-61771864,740,1178,0.876,Y,"Intron:Pard3b,Pard3bos1",chr1:61771420-61771439(-)
6097,chr1:62701006-62701488,482,1209,0.9,Y,Promoter:Nrp2,"chr1:62701353-62701372(-),chr1:62701200-62701219(-)"
6105,chr1:62722338-62723017,679,1258,0.936,Y,Intron:Nrp2,chr1:62722719-62722738(+)
6122,chr1:62785909-62786656,747,1255,0.934,Y,Exon:Nrp2;Intron:Nrp2,"chr1:62786437-62786456(+),chr1:62786568-62786587(+)"
6145,chr1:62929480-62930122,642,1267,0.943,Y,Intergenic,chr1:62929703-62929722(-)
6156,chr1:62986320-62986834,514,1178,0.876,Y,Intergenic,chr1:62986421-62986440(-)
6210,chr1:63180896-63181465,569,1313,0.977,Y,Promoter:Snora41,"chr1:63181159-63181178(+),chr1:63181269-63181288(+)"
6283,chr1:63657899-63658612,713,1244,0.926,Y,Intron:Dytn,chr1:63658186-63658205(+)
6387,chr1:64448056-64448809,753,1134,0.844,Y,Intergenic,chr1:64448284-64448303(-)
6413,chr1:64617108-64618340,1232,1304,0.97,Y,"Promoter:Mettl21a,Gm28982;Exon:Mettl21a,Gm28982;Intron:Gm28982",chr1:64617774-64617793(+)
6436,chr1:64709808-64710309,501,1130,0.841,Y,Intron:Ccnyl1,chr1:64710075-64710094(-)
6438,chr1:64717504-64717923,419,1167,0.868,Y,Intron:Ccnyl1,chr1:64717720-64717739(+)
6474,chr1:64918696-64919556,860,1169,0.87,Y,Intron:Plekhm3,chr1:64919088-64919107(-)
6497,chr1:65010138-65010789,651,1322,0.984,Y,Intergenic,"chr1:65010314-65010333(-),chr1:65010518-65010537(+),chr1:65010368-65010387(-)"
