Union ID,Loci,Union length,Occupancy score,Occupancy frequency,Constitutive,Genomic feature,Motif,Cell type gain,Cell type lost
430,chr1:1943829-1944610,781,2051,0.978,Y,Exon:CFAP74;Intron:CFAP74,"chr1:1944079-1944098(-),chr1:1944159-1944178(+),chr1:1944235-1944254(+),chr1:1944311-1944330(+)",,
433,chr1:1959815-1960658,843,2059,0.982,Y,Exon:CFAP74;Intron:CFAP74,"chr1:1960215-1960234(+),chr1:1960530-1960549(+)",,
464,chr1:2044694-2045256,562,1981,0.945,Y,Intron:LOC105378590,"chr1:2044992-2045011(-),chr1:2045130-2045149(+)",,Ca-Ski
466,chr1:2046425-2046855,430,1871,0.892,Y,"Promoter:LOC105378590,PRKCZ;Intron:LOC105378590","chr1:2046635-2046654(-),chr1:2046686-2046705(-)",,"brainstem,SEM,thoracic_aorta"
480,chr1:2091411-2092162,751,1582,0.754,Y,Intron:PRKCZ,"chr1:2091547-2091566(-),chr1:2091790-2091809(+),chr1:2091800-2091819(+)",,"tongue,U2OS,A549-ACE2,HEC-1-B,brainstem,DIvA,LoVo,WA01,uterus,Calu-3,SK-MEL-147,MDA-MB-157,DLD-1,SK-N-SH,MCF-10A,Caco-2,breast_epithelium,93-VU147T,HMS001,ovary,VCaP,lymph_node,Caov-3,LNCaP,EndoC-[beta]H3,IMR32"
500,chr1:2139750-2140539,789,2002,0.955,Y,Intron:PRKCZ,"chr1:2139925-2139944(-),chr1:2140128-2140147(-)",,"uterus,ovary"
516,chr1:2174268-2174870,602,2067,0.986,Y,Exon:PRKCZ;Intron:PRKCZ,"chr1:2174368-2174387(-),chr1:2174370-2174389(+),chr1:2174455-2174474(-)",,
522,chr1:2195000-2195541,541,2074,0.989,Y,Intron:FAAP20,"chr1:2195063-2195082(-),chr1:2195348-2195367(+)",,
572,chr1:2314948-2315816,868,1995,0.951,Y,Promoter:LOC124903824;Exon:LOC124903824;Intron:LOC124903824,"chr1:2315106-2315125(+),chr1:2315297-2315316(-)",,"MCF-10CA1a,SiHa,pancreatic_islets"
592,chr1:2381692-2382350,658,2065,0.985,Y,Intron:MORN1,"chr1:2381696-2381715(+),chr1:2381739-2381758(+),chr1:2381914-2381933(-),chr1:2382199-2382218(+)",,
602,chr1:2414157-2414779,622,2083,0.993,Y,"Promoter:PEX10,PLCH2",chr1:2414552-2414571(+),,
685,chr1:2821959-2822408,449,1711,0.816,Y,Intergenic,chr1:2822160-2822179(+),,"brainstem,primitive_cardiomyocite,WA01,neutrophil,Kasumi-1,endocrine_pancreas,hepatocyte,smooth_muscle,astrocyte,osteocyte,GM12874,NHLF,cardiac_progenitor,AG04450,93-VU147T,ovary,cardiac_mesoderm,endodermal,HFF,WI-38"
711,chr1:2921943-2922443,500,1751,0.835,Y,Intergenic,chr1:2922203-2922222(-),,"brainstem,primitive_cardiomyocite,uterus,Kasumi-1,HUVEC-C,hepatocyte,mesoderm,FT282,astrocyte,osteocyte,NHLF,foreskin_keratinocyte,AG04450,HEEpiC,CP-A,WI-38"
740,chr1:3012215-3012986,771,1838,0.876,Y,Intergenic,"chr1:3012347-3012366(+),chr1:3012647-3012666(+)",,"OCI-AML-3,Kasumi-1,BEAS-2B,DoHH2,Mutu-LCL,MCF-10A,OCI-Ly3,SEM,foreskin_keratinocyte,93-VU147T,MDA-MB-231,Ca-Ski,WI-38"
829,chr1:3283752-3284339,587,1797,0.857,Y,Exon:LOC124903828;Intron:PRDM16,chr1:3284147-3284166(-),,"RPE,brainstem,LoVo,HEY,MDA-MB-157,neutrophil,RKO,Kasumi-1,RPE1,MCF-10A,GM12874,MDA-MB-231,CUTLL1,Ca-Ski,EndoC-[beta]H3"
840,chr1:3319703-3320657,954,1964,0.937,Y,"Intron:LOC105378604,PRDM16",chr1:3320124-3320143(-),,"neutrophil,Kasumi-1"
883,chr1:3424664-3425172,508,2063,0.984,Y,Intron:PRDM16,"chr1:3424656-3424675(+),chr1:3424868-3424887(-),chr1:3424951-3424970(+)",,"IOSE11,neutrophil"
890,chr1:3452849-3453539,690,2076,0.99,Y,Promoter:ARHGEF16,"chr1:3453290-3453309(+),chr1:3453357-3453376(+)",,
905,chr1:3483834-3484234,400,2033,0.969,Y,Intergenic,"chr1:3483985-3484004(-),chr1:3484036-3484055(-)",,
907,chr1:3491136-3491638,502,2071,0.988,Y,Intron:MEGF6,"chr1:3491229-3491248(+),chr1:3491388-3491407(+)",,
921,chr1:3518138-3518616,478,1917,0.914,Y,Intron:MEGF6,"chr1:3518373-3518392(+),chr1:3518376-3518395(+)",,pancreatic_islets
939,chr1:3564956-3565594,638,2060,0.982,Y,Intron:MEGF6,chr1:3565402-3565421(+),,
960,chr1:3615087-3615523,436,1769,0.844,Y,Intron:MEGF6,"chr1:3615241-3615260(+),chr1:3615319-3615338(-)",,"neutrophil,LCL1,pancreatic_islets"
961,chr1:3619008-3619476,468,2051,0.978,Y,Intron:MEGF6,chr1:3619182-3619201(-),,
988,chr1:3695309-3696275,966,2024,0.965,Y,Intron:TP73,"chr1:3695312-3695331(+),chr1:3695790-3695809(+),chr1:3695817-3695836(-),chr1:3696144-3696163(-),chr1:3696146-3696165(+)",,GBM8
1001,chr1:3724393-3724999,606,2084,0.994,Y,Intron:TP73,chr1:3724582-3724601(-),,
1031,chr1:3801339-3802049,710,1653,0.788,Y,Intergenic,chr1:3801635-3801654(-),,"U2OS,LoVo,neutrophil,Mutu-LCL,DND-41,OCI-Ly3,FULVR,hESC,cortex,WI-38"
1066,chr1:3910565-3911173,608,2025,0.966,Y,Intron:LINC01134,"chr1:3910704-3910723(-),chr1:3910952-3910971(+)",,
1196,chr1:4585021-4585806,785,1631,0.778,Y,Intergenic,chr1:4585385-4585404(-),,"A549-ACE2,HEC-1-B,brainstem,bipolar_spindle_neuron,mesenchymal_stromal,uterus,myocyte,neutrophil,RKO,Kasumi-1,ASC,RPE1,93-VU147T,HMS001,ovary,VCaP,lymph_node,brain,Ca-Ski,Tet21N,CP-A,EndoC-[beta]H3"
1208,chr1:4652271-4653104,833,2011,0.959,Y,Promoter:AJAP1,chr1:4652744-4652763(+),,"SK-MEL-147,Tet21N,CP-A"
1369,chr1:5509853-5510296,443,2048,0.977,Y,Intergenic,chr1:5510051-5510070(+),,
1371,chr1:5514529-5514922,393,2070,0.987,Y,Intergenic,,,
1392,chr1:5637081-5637555,474,1509,0.72,Y,Intergenic,chr1:5637364-5637383(+),,"RPE,brainstem,IOSE11,coronary_artery,NK,retinal_pigment_epithelial,uterus,myocyte,neutrophil,ASC,mesothelial_epicardium,FT282,GM23338,stomach,osteocyte,NHLF,thoracic_aorta,nephron,ovary,retina,nephron_organoid,BM-hMSC-TERT4,GM25256,hESC,HFF,EndoC-[beta]H3,WI-38"
1419,chr1:5745774-5746362,588,2061,0.983,Y,Intergenic,chr1:5745971-5745990(-),,
1475,chr1:5915413-5916365,952,1935,0.923,Y,Intron:NPHP4,chr1:5916163-5916182(-),,"mesenchymal_stromal,neutrophil,Rh30,lymph_node,cortex"
1498,chr1:5975087-5975744,657,1945,0.928,Y,Intron:NPHP4,chr1:5975348-5975367(-),,U2OS
1525,chr1:6034361-6034835,474,1955,0.932,Y,Exon:KCNAB2;Intron:KCNAB2,,,"lymph_node,CP-A"
1527,chr1:6041406-6041906,500,1905,0.908,Y,Exon:KCNAB2;Intron:KCNAB2,"chr1:6041622-6041641(-),chr1:6041624-6041643(+)",,"A549-ACE2,EndoC-[beta]H3"
1530,chr1:6052497-6053558,1061,1800,0.858,Y,Intron:KCNAB2,chr1:6053095-6053114(+),,"HSPC,brainstem,mesenchymal_stromal,neutrophil"
1549,chr1:6108667-6109294,627,1642,0.783,Y,Intron:CHD5,chr1:6109007-6109026(+),,"uterus,neutrophil,thyroid_gland,stomach,gastrocnemius_medialis,thoracic_aorta,nephron,ovary,nephron_organoid,lymph_node,hESC,brain,EndoC-[beta]H3"
1583,chr1:6185722-6186254,532,1807,0.862,Y,Exon:RPL22,chr1:6185970-6185989(-),,"uterus,neutrophil,thyroid_gland,R1-hiPSC8,ovary,cortex,EndoC-[beta]H3"
1586,chr1:6204896-6205518,622,2032,0.969,Y,"Promoter:RNF207,RNF207-AS1;Exon:RNF207-AS1;Intron:RNF207-AS1",chr1:6205370-6205389(-),,"brainstem,SK-MEL-147,neutrophil,EndoC-[beta]H3"
1603,chr1:6245089-6245447,358,1966,0.938,Y,Promoter:HES3;Exon:HES3;Intron:HES3,chr1:6245216-6245235(-),,neutrophil
1604,chr1:6246426-6247084,658,2070,0.987,Y,Intergenic,"chr1:6246460-6246479(+),chr1:6246886-6246905(+)",,
1637,chr1:6343327-6343988,661,2045,0.975,Y,Intron:ACOT7,chr1:6343603-6343622(-),,neutrophil
1638,chr1:6347727-6348361,634,1933,0.922,Y,Intron:ACOT7,"chr1:6347917-6347936(-),chr1:6348106-6348125(+)",,brainstem
1644,chr1:6362701-6363570,869,1859,0.887,Y,Intron:ACOT7,chr1:6363220-6363239(+),,"LoVo,neutrophil,EFO-27,BEAS-2B,Loucy,FULVR,hESC"
1658,chr1:6404545-6405289,744,2066,0.985,Y,Intergenic,"chr1:6404835-6404854(-),chr1:6405221-6405240(+)",,
1660,chr1:6414201-6414728,527,1830,0.873,Y,Intergenic,"chr1:6414473-6414492(-),chr1:6414483-6414502(-)",,"NK,uterus,neutrophil,tibial_artery,gastrocnemius_medialis,thoracic_aorta,FULVR,ovary,vagina,cortex"
1662,chr1:6423026-6423880,854,2021,0.964,Y,Promoter:ESPN,"chr1:6423032-6423051(+),chr1:6423313-6423332(-),chr1:6423353-6423372(+),chr1:6423615-6423634(-),chr1:6423617-6423636(+)",,"neutrophil,cortex"
1666,chr1:6437998-6438516,518,2068,0.986,Y,Intron:ESPN,"chr1:6438191-6438210(-),chr1:6438260-6438279(-)",,
1683,chr1:6475396-6476085,689,2073,0.989,Y,Exon:PLEKHG5;Intron:PLEKHG5,chr1:6475672-6475691(-),,
1688,chr1:6486461-6486833,372,2033,0.969,Y,Intron:PLEKHG5,chr1:6486635-6486654(+),,
1690,chr1:6489836-6490427,591,2062,0.983,Y,Intron:PLEKHG5,"chr1:6490037-6490056(-),chr1:6490050-6490069(+)",,MCF-10CA1a
1699,chr1:6523571-6524044,473,1828,0.872,Y,Exon:NOL9,chr1:6523795-6523814(-),,"NK,neutrophil,EFO-27,mesothelial_epicardium,cortex,EndoC-[beta]H3"
1710,chr1:6553962-6554849,887,2087,0.995,Y,"Promoter:NOL9,TAS1R1;Exon:NOL9;Intron:NOL9","chr1:6554289-6554308(-),chr1:6554600-6554619(-),chr1:6554697-6554716(-)",,
1734,chr1:6634597-6635036,439,1800,0.858,Y,"Exon:DNAJC11,THAP3","chr1:6634775-6634794(-),chr1:6634889-6634908(-)",,"brainstem,NK,macrophage"
1740,chr1:6646261-6647102,841,1895,0.904,Y,Intron:DNAJC11,"chr1:6646246-6646265(+),chr1:6646688-6646707(-)",,"U2OS,GBM8,R1-hiPSC8"
1749,chr1:6701542-6702441,899,2042,0.974,Y,Promoter:DNAJC11;Exon:DNAJC11;Intron:DNAJC11,"chr1:6701567-6701586(-),chr1:6701896-6701915(-),chr1:6701951-6701970(-)",,MCF-10CA1a
1750,chr1:6719727-6720389,662,2062,0.983,Y,Intergenic,chr1:6720164-6720183(+),,HSPC
1753,chr1:6727393-6727974,581,2064,0.984,Y,Exon:LINC01672;Intron:LINC01672,chr1:6727738-6727757(-),,"lymph_node,cortex"
1764,chr1:6794075-6794800,725,1526,0.728,Y,Intron:CAMTA1,chr1:6794332-6794351(+),,"U2OS,HSPC,brainstem,mesenchymal_stromal,Rh4,SMS-CTR,CV-hIPS-B,neutrophil,Mutu-LCL,FB8470,KB,R1-hiPSC8,FB0167P,CUTLL1,cortex,Caov-3,brain"
1794,chr1:6889646-6890604,958,2014,0.96,Y,Exon:CAMTA1,chr1:6890059-6890078(-),,neutrophil
1842,chr1:7042378-7043362,984,1866,0.89,Y,Intron:CAMTA1,"chr1:7042593-7042612(-),chr1:7042893-7042912(+)",,"neutrophil,LCL1,EFO-27"
1849,chr1:7070383-7071150,767,2050,0.978,Y,Intron:CAMTA1,chr1:7070575-7070594(-),,neutrophil
1885,chr1:7207806-7208293,487,1907,0.909,Y,Intron:CAMTA1,"chr1:7207833-7207852(-),chr1:7208079-7208098(-)",,"uterus,neutrophil,FULVR,ovary,vagina,lymph_node"
1887,chr1:7218185-7218667,482,1995,0.951,Y,Promoter:RNU1-8P;Intron:CAMTA1,"chr1:7218283-7218302(-),chr1:7218416-7218435(-)",,cortex
1952,chr1:7454051-7454517,466,1569,0.748,Y,Intron:CAMTA1,chr1:7454243-7454262(+),,"tongue,DIvA,KMS-11,NK,uterus,T-cell,neutrophil,monocyte,GM25256,brain"
1984,chr1:7539388-7540295,907,1744,0.832,Y,Intron:CAMTA1,"chr1:7539559-7539578(-),chr1:7539908-7539927(-),chr1:7539990-7540009(-)",,"uterus,neutrophil,Kasumi-1,spleen,vagina,lymph_node,cortex,EndoC-[beta]H3"
2022,chr1:7647218-7647942,724,2074,0.989,Y,Intron:CAMTA1,"chr1:7647269-7647288(+),chr1:7647405-7647424(-)",,
2028,chr1:7667386-7667975,589,2080,0.992,Y,Intron:CAMTA1,"chr1:7667539-7667558(+),chr1:7667761-7667780(+),chr1:7667705-7667724(+)",,
2029,chr1:7669451-7669848,397,2009,0.958,Y,Exon:CAMTA1;Intron:CAMTA1,"chr1:7669495-7669514(+),chr1:7669639-7669658(+)",,
2052,chr1:7752611-7753444,833,2000,0.954,Y,Intron:CAMTA1,chr1:7752994-7753013(-),,
2065,chr1:7807679-7808819,1140,1767,0.843,Y,Intron:PER3,,,"mesenchymal_stromal,Rh4,SMS-CTR,Mutu-LCL,FB8470,KB,R1-hiPSC8,vagina,FB0167P,cortex,IMR32"
2091,chr1:7902635-7903060,425,2046,0.976,Y,Intron:UTS2,chr1:7902933-7902952(-),,
2110,chr1:7960939-7962156,1217,1842,0.878,Y,Promoter:PARK7;Exon:PARK7;Intron:PARK7,,,"U2OS,macrophage,GM25256,Tet21N"
2112,chr1:7975205-7975888,683,2070,0.987,Y,Intron:PARK7,"chr1:7975393-7975412(+),chr1:7975442-7975461(+)",,
2113,chr1:7982168-7982833,665,2062,0.983,Y,Intron:PARK7,"chr1:7982357-7982376(-),chr1:7982474-7982493(+)",,FULVR
2125,chr1:8014902-8015799,897,1879,0.896,Y,Exon:ERRFI1;Intron:ERRFI1,chr1:8015170-8015189(+),,"HSPC,mesenchymal_stromal,neutrophil,FULVR"
2130,chr1:8030974-8031858,884,1830,0.873,Y,Intron:ERRFI1-DT,chr1:8031376-8031395(+),,"brainstem,LoVo,SMS-CTR,D-54MG,neutrophil,Mutu-LCL,KB,FULVR,FB0167P,cortex,IMR32"
2229,chr1:8314275-8314701,426,2033,0.969,Y,Intergenic,chr1:8314471-8314490(-),,neutrophil
2241,chr1:8348886-8349584,698,2041,0.973,Y,Intergenic,"chr1:8349161-8349180(-),chr1:8349163-8349182(+)",,
2242,chr1:8351641-8352123,482,1776,0.847,Y,Intergenic,"chr1:8351843-8351862(-),chr1:8351863-8351882(-),chr1:8351927-8351946(-),chr1:8351990-8352009(+)",,"brainstem,macrophage,neutrophil,EndoC-[beta]H3"
2248,chr1:8374605-8375372,767,1660,0.792,Y,Intron:RERE,chr1:8374984-8375003(+),,"neuron,testis,GBM8,macrophage,neutrophil,thyroid_gland,retina,vagina,cortex"
2260,chr1:8408998-8409584,586,1650,0.787,Y,Intron:RERE,chr1:8409172-8409191(+),,"U2OS,A549-ACE2,HSPC,DIvA,KMS-11,GBM8,SK-MEL-147,EFO-27,Mutu-LCL,DND-41,R1-hiPSC4,R1-hiPSC1,GM25256,CUTLL1,LUHMES,EndoC-[beta]H3"
2317,chr1:8561038-8561816,778,1975,0.942,Y,Intron:RERE,,,"HSPC,FB8470,R1-hiPSC8,cortex"
2344,chr1:8670755-8671924,1169,1991,0.949,Y,Intron:RERE,chr1:8671488-8671507(-),,"HSPC,brainstem,FULVR,cortex"
2358,chr1:8726260-8727641,1381,1935,0.923,Y,Intron:RERE,"chr1:8726693-8726712(-),chr1:8727365-8727384(-)",,"Mutu-LCL,FULVR"
2385,chr1:8848651-8849596,945,2078,0.991,Y,Intergenic,"chr1:8849074-8849093(-),chr1:8849214-8849233(+)",,
2387,chr1:8859343-8859874,531,1912,0.912,Y,Intergenic,chr1:8859584-8859603(+),,"LoVo,cortex,brain"
2389,chr1:8862409-8862872,463,1825,0.87,Y,Intron:ENO1,"chr1:8862635-8862654(+),chr1:8862668-8862687(-),chr1:8862835-8862854(-)",,"uterus,thyroid_gland"
2411,chr1:8917974-8918478,504,1962,0.936,Y,Intron:LOC112268261,chr1:8918259-8918278(+),,
2424,chr1:8962889-8963583,694,1705,0.813,Y,Intron:CA6,chr1:8963081-8963100(+),,"testis,WA01,uterus,GBM8,FULVR,ovary,cortex,EndoC-[beta]H3"
2434,chr1:8988014-8988659,645,2082,0.993,Y,Intergenic,chr1:8988216-8988235(-),,
2440,chr1:9005073-9005512,439,2059,0.982,Y,Intron:SLC2A7,chr1:9005286-9005305(-),,
2442,chr1:9009974-9010422,448,1598,0.762,Y,Exon:SLC2A7;Intron:SLC2A7,"chr1:9010198-9010217(+),chr1:9010201-9010220(+),chr1:9010240-9010259(+)",,"A549-ACE2,KMS-11,MCF-10CA1a,WA01,middle_frontal_area_46,thyroid_gland,Kelly,Ca-Ski,pancreatic_islets,EndoC-[beta]H3"
2470,chr1:9101522-9101923,401,1952,0.931,Y,Exon:GPR157,"chr1:9101577-9101596(+),chr1:9101722-9101741(-)",,"LoVo,NK"
2473,chr1:9110753-9111143,390,2083,0.993,Y,Intron:GPR157,chr1:9110927-9110946(+),,
2483,chr1:9142198-9142905,707,2048,0.977,Y,Intergenic,chr1:9142419-9142438(+),,EndoC-[beta]H3
2497,chr1:9181148-9182093,945,2084,0.994,Y,"Promoter:LNCTAM34A,MIR34AHG;Exon:MIR34AHG;Intron:MIR34AHG","chr1:9181345-9181364(-),chr1:9181444-9181463(+)",,
2503,chr1:9196225-9197134,909,2040,0.973,Y,Intergenic,"chr1:9196314-9196333(-),chr1:9196620-9196639(-)",,IOSE11
2518,chr1:9234213-9235473,1260,1992,0.95,Y,Promoter:H6PD;Exon:H6PD;Intron:H6PD,"chr1:9234584-9234603(-),chr1:9234586-9234605(+),chr1:9234679-9234698(+),chr1:9235068-9235087(-)",,"MCF-10CA1a,GM25256"
2524,chr1:9249856-9250534,678,1869,0.891,Y,Intron:H6PD,chr1:9250218-9250237(-),,"LoVo,GBM8,LCL1,EndoC-[beta]H3"
2528,chr1:9267128-9267613,485,2067,0.986,Y,Exon:H6PD,chr1:9267304-9267323(-),,
2535,chr1:9289013-9289450,437,2011,0.959,Y,Intergenic,chr1:9289179-9289198(+),,"HSPC,mesenchymal_stromal,NALM-6,FULVR,cortex"
2608,chr1:9455655-9456402,747,2034,0.97,Y,Intergenic,chr1:9455952-9455971(-),,GBM8
2616,chr1:9490958-9491460,502,2040,0.973,Y,Intergenic,chr1:9491237-9491256(-),,
2617,chr1:9495041-9495632,591,2042,0.974,Y,Intergenic,"chr1:9495376-9495395(-),chr1:9495404-9495423(+)",,
2638,chr1:9573488-9574332,844,1610,0.768,Y,Intron:SLC25A33,chr1:9573916-9573935(-),,"IOSE11,mesenchymal_stromal,FULVR,brain"
2642,chr1:9588305-9588781,476,2009,0.958,Y,Promoter:TMEM201,chr1:9588615-9588634(+),,"MCF-10CA1a,HMS001,SiHa,MDA-MB-231,Ca-Ski"
2648,chr1:9615532-9616002,470,1961,0.935,Y,Promoter:LOC124903837;Intron:LOC124903837,"chr1:9615622-9615641(+),chr1:9615757-9615776(+),chr1:9615783-9615802(-)",,brainstem
2649,chr1:9626875-9627533,658,2081,0.992,Y,"Promoter:LOC105376712,PIK3CD;Exon:PIK3CD","chr1:9627103-9627122(-),chr1:9627116-9627135(+),chr1:9627181-9627200(-),chr1:9627183-9627202(+)",,MCF-10CA1a
2668,chr1:9701908-9702932,1024,1843,0.879,Y,Intron:PIK3CD,"chr1:9702391-9702410(-),chr1:9702425-9702444(+)",,"WA01,Calu-3,Mutu-LCL,cortex,EndoC-[beta]H3"
2676,chr1:9721713-9722156,443,1821,0.868,Y,Exon:PIK3CD;Intron:PIK3CD,"chr1:9721832-9721851(+),chr1:9721964-9721983(+),chr1:9722127-9722146(-)",,"brainstem,Ca-Ski,EndoC-[beta]H3"
2677,chr1:9724975-9725380,405,2061,0.983,Y,Intron:PIK3CD,"chr1:9725137-9725156(-),chr1:9725161-9725180(-),chr1:9725213-9725232(+)",,
2694,chr1:9784252-9784916,664,1997,0.952,Y,Intron:CLSTN1,"chr1:9784718-9784737(-),chr1:9784720-9784739(+)",,cortex
2723,chr1:9867446-9868053,607,2082,0.993,Y,Intron:CTNNBIP1,"chr1:9867493-9867512(+),chr1:9867648-9867667(-)",,
2724,chr1:9874881-9875414,533,2083,0.993,Y,Intron:CTNNBIP1,"chr1:9875038-9875057(+),chr1:9875392-9875411(-)",,
2742,chr1:9942314-9943832,1518,1855,0.885,Y,"Promoter:LZIC,NMNAT1;Exon:LZIC,NMNAT1;Intron:LZIC,NMNAT1","chr1:9942514-9942533(-),chr1:9943193-9943212(+)",,Caov-3
2744,chr1:9950036-9950755,719,2078,0.991,Y,"Exon:TMEM274P;Intron:NMNAT1,TMEM274P",chr1:9950486-9950505(+),,
2756,chr1:10032399-10032912,513,2061,0.983,Y,Promoter:UBE4B,"chr1:10032655-10032674(-),chr1:10032658-10032677(-)",,MCF-10CA1a
2793,chr1:10152574-10153390,816,1975,0.942,Y,Intron:UBE4B,"chr1:10152965-10152984(+),chr1:10153121-10153140(-)",,
2815,chr1:10209710-10210518,808,2078,0.991,Y,Promoter:KIF1B,"chr1:10209824-10209843(+),chr1:10210343-10210362(+)",,MCF-10CA1a
2840,chr1:10337694-10338500,806,1964,0.937,Y,Intron:KIF1B,"chr1:10338206-10338225(-),chr1:10338226-10338245(-)",,neutrophil
2844,chr1:10377057-10377791,734,2003,0.955,Y,Exon:KIF1B,,,
2859,chr1:10428011-10428431,420,2028,0.967,Y,Intergenic,chr1:10428236-10428255(-),,
2860,chr1:10430070-10430599,529,2038,0.972,Y,"Promoter:CENPS,CENPS-CORT;Exon:CENPS,CENPS-CORT;Intron:CENPS,CENPS-CORT",chr1:10430364-10430383(+),,MCF-10CA1a
2875,chr1:10494602-10495345,743,2087,0.995,Y,Exon:PEX14;Intron:PEX14,"chr1:10494818-10494837(-),chr1:10495221-10495240(+)",,
2876,chr1:10507168-10507830,662,2051,0.978,Y,Intron:PEX14,"chr1:10507479-10507498(-),chr1:10507607-10507626(+)",,
2879,chr1:10514184-10514787,603,1787,0.852,Y,Intron:PEX14,chr1:10514597-10514616(+),,"HSPC,neutrophil,spleen,GM25256"
